facilities = 30 objectives = 2 max_distances = 179 max flows = 9994 overlap =  1.00 seed = 34289342 correlation 1 = 0.000 A = -2 B = 4 M = 0 K = 1 m = 100
 0 46 53 63 68 68 66 92 146 73 25 103 79 44 27 62 104 44 121 63 41 90 112 34 89 40 40 61 14 83 
46  0 76 93 99 91 112 66 170 110 71 118 124 14 57 89 125 89 142 56 87 102 139 73 99 80 53 87 60 113 
53 76  0 19 25 15 67 77 95 43 49 49 100 84 80 13 51 52 68 41 54 37 63 29 37 82 23 12 54 38 
63 93 19  0  5 13 55 96 83 24 51 46 92 99 87  6 44 46 59 60 49 42 49 30 43 84 42  8 59 20 
68 99 25  5  0 16 54 101 78 20 54 45 92 105 91 11 41 48 56 65 51 43 44 34 45 87 47 13 63 15 
68 91 15 13 16  0 68 86 79 36 60 36 105 100 93  8 36 58 53 51 61 28 47 39 30 93 38  8 67 24 
66 112 67 55 54 68  0 141 118 38 41 99 38 111 73 60 92 22 104 104 25 97 86 44 99 55 78 61 53 60 
92 66 77 96 101 86 141  0 146 120 109 91 167 81 115 90 103 121 116 36 121 75 123 96 70 133 62 88 104 110 
146 170 95 83 78 79 118 146  0 82 132 55 155 179 170 84 45 122 30 121 126 72 34 113 76 163 118 85 142 64 
73 110 43 24 20 36 38 120 82  0 53 62 77 114 91 30 54 40 65 84 44 62 49 39 65 82 63 32 65 22 
25 71 49 51 54 60 41 109 132 53  0 96 58 69 38 52 95 19 110 75 16 87 98 21 87 33 48 52 13 68 
103 118 49 46 45 36 99 91 55 62 96  0 137 129 129 44 13 93 25 66 96 17 35 75 21 129 67 44 103 40 
79 124 100 92 92 105 38 167 155 77 58 137  0 119 72 96 131 48 143 132 46 133 124 73 135 47 105 97 66 99 
44 14 84 99 105 100 111 81 179 114 69 129 119  0 48 96 134 89 151 69 86 112 147 76 110 73 61 95 57 120 
27 57 80 87 91 93 73 115 170 91 38 129 72 48  0 86 130 55 146 89 50 117 135 56 116 25 67 86 27 105 
62 89 13  6 11  8 60 90 84 30 52 44 96 96 86  0 43 49 59 54 52 37 51 31 39 85 37  2 59 24 
104 125 51 44 41 36 92 103 45 54 95 13 131 134 130 43  0 89 17 75 92 28 22 74 32 128 72 43 102 32 
44 89 52 46 48 58 22 121 122 40 19 93 48 89 55 49 89  0 103 85  4 87 88 25 88 42 59 50 32 59 
121 142 68 59 56 53 104 116 30 65 110 25 143 151 146 59 17 103  0 91 107 42 20 90 46 143 89 60 119 44 
63 56 41 60 65 51 104 36 121 84 75 66 132 69 89 54 75 85 91  0 86 48 94 60 45 102 27 52 72 75 
41 87 54 49 51 61 25 121 126 44 16 96 46 86 50 52 92  4 107 86  0 89 92 26 90 37 59 53 28 63 
90 102 37 42 43 28 97 75 72 62 87 17 133 112 117 37 28 87 42 48 89  0 49 66  4 120 52 36 91 43 
112 139 63 49 44 47 86 123 34 49 98 35 124 147 135 51 22 88 20 94 92 49  0 79 53 129 86 52 108 30 
34 73 29 30 34 39 44 96 113 39 21 75 73 76 56 31 74 25 90 60 26 66 79  0 66 54 34 31 29 49 
89 99 37 43 45 30 99 70 76 65 87 21 135 110 116 39 32 88 46 45 90  4 53 66  0 120 50 38 91 47 
40 80 82 84 87 93 55 133 163 82 33 129 47 73 25 85 128 42 143 102 37 120 129 54 120  0 77 85 30 99 
40 53 23 42 47 38 78 62 118 63 48 67 105 61 67 37 72 59 89 27 59 52 86 34 50 77  0 35 46 61 
61 87 12  8 13  8 61 88 85 32 52 44 97 95 86  2 43 50 60 52 53 36 52 31 38 85 35  0 59 26 
14 60 54 59 63 67 53 104 142 65 13 103 66 57 27 59 102 32 119 72 28 91 108 29 91 30 46 59  0 78 
83 113 38 20 15 24 60 110 64 22 68 40 99 120 105 24 32 59 44 75 63 43 30 49 47 99 61 26 78  0 

 0  1 71 251  0 9694  0 356 695 400 1093 19 212 1315 2052  6 474 2262  0 1880 3503 40 776 132  0 27 2373 472 1044 3290 
 1  0 322  0 56  0 26 286  2 106  0 14 7081  0 12  0  0  0 15  1  3  0 2819  0  0  0  0 241  3 16 
71 322  0 64  0  4 163 720 1789 139 12 1910  0 32  0 128  1 15 3734 20  0 2437 8415  1  0 32  0  1  0  0 
251  0 64  0 262  0  8 58  0  1 7544 124  0 12  2 2801  1 1087 8227  2 12 1492 1123  0  0 2539  0 2423  0 4472 
 0 56  0 262  0  1  2  0  5  0  0 8715 671  7 15 2398 28 3270  1  1 155 16  0  4 1403  0 2462  0  0 419 
9694  0  4  0  1  0 11  1 91  0 19  0  0 2937 503  0  0 45 1400 23 1111 3611  0 3517 230  1 1455 112  0 47 
 0 26 163  8  2 11  0 30 28 846 2765  1 26  0  0 548  0 157  0 14  4  0 40 16 213 57  0 114  0  1 
356 286 720 58  0  1 30  0  4 321  2  0  0 384 1042 14 1698 322 2607  0  0 244 835  5  6  8 2172 58  0  0 
695  2 1789  0  5 91 28  4  0 775 201 2691  8 640 648 5438 620 13 6800  0  1 4617 30  0 257 559 2976 126  4 3829 
400 106 139  1  0  0 846 321 775  0 31 145 30  0  2  0 1849  0  2 4530 2328 275  0  0 1502 1906 48 45  1 7850 
1093  0 12 7544  0 19 2765  2 201 31  0  0 35 631 22  0 605 802  0  0  0  0  0 36  6 519  0 55  0 6943 
19 14 1910 124 8715  0  1  0 2691 145  0  0 11  9 1290 69 5198  0 1268 30 1395 2101  0 1236 9130  7 15 39 3272  0 
212 7081  0  0 671  0 26  0  8 30 35 11  0 53 725  9 60 956  0  1  1  0 205  0  0 284 188  0  0  0 
1315  0 32 12  7 2937  0 384 640  0 631  9 53  0 1213  0  0  0 522  0 22  0 2408  0  0  0 265 3116  1  0 
2052 12  0  2 15 503  0 1042 648  2 22 1290 725 1213  0  0  1  5 428  0  3 135  2  1 915 36  0 6744 1255  0 
 6  0 128 2801 2398  0 548 14 5438  0  0 69  9  0  0  0  3  0 410  0 11  7  1  0  2  1 250 222 170 174 
474  0  1  1 28  0  0 1698 620 1849 605 5198 60  0  1  3  0 226 1835  6 1432  0  0  0 85 627  5 33  0  0 
2262  0 15 1087 3270 45 157 322 13  0 802  0 956  0  5  0 226  0 883  6  2  0  3  0  0  3  5  0 1017  6 
 0 15 3734 8227  1 1400  0 2607 6800  2  0 1268  0 522 428 410 1835 883  0  1  3  0 94 55  0 1150  0  0 755  0 
1880  1 20  2  1 23 14  0  0 4530  0 30  1  0  0  0  6  6  1  0  1 891  0 37  0  0  4  0 13  0 
3503  3  0 12 155 1111  4  0  1 2328  0 1395  1 22  3 11 1432  2  3  1  0 1336 3153  0  0 131  0 73  0  3 
40  0 2437 1492 16 3611  0 244 4617 275  0 2101  0  0 135  7  0  0  0 891 1336  0  2  1 10  0 345  0  0  1 
776 2819 8415 1123  0  0 40 835 30  0  0  0 205 2408  2  1  0  3 94  0 3153  2  0 7163  4 233  0 12 384  9 
132  0  1  0  4 3517 16  5  0  0 36 1236  0  0  1  0  0  0 55 37  0  1 7163  0  2  0  0 1799 477  0 
 0  0  0  0 1403 230 213  6 257 1502  6 9130  0  0 915  2 85  0  0  0  0 10  4  2  0 336  0  3  0 130 
27  0 32 2539  0  1 57  8 559 1906 519  7 284  0 36  1 627  3 1150  0 131  0 233  0 336  0  0 1597 21  0 
2373  0  0  0 2462 1455  0 2172 2976 48  0 15 188 265  0 250  5  5  0  4  0 345  0  0  0  0  0  0 199 1260 
472 241  1 2423  0 112 114 58 126 45 55 39  0 3116 6744 222 33  0  0  0 73  0 12 1799  3 1597  0  0  0  0 
1044  3  0  0  0  0  0  0  4  1  0 3272  0  1 1255 170  0 1017 755 13  0  0 384 477  0 21 199  0  0 63 
3290 16  0 4472 419 47  1  0 3829 7850 6943  0  0  0  0 174  0  6  0  0  3  1  9  0 130  0 1260  0 63  0 

 0 43 5047  0  0 13 3527  5 12  1  0  2 30 1757 6439 34 121 137  7 563  0  0  0  0 4376  0  5 231  0  0 
43  0  0 856 58 1287 46  2  0 809 2190 393 2250  0 170 2006 377  8 29  0  0  0 2065 19  2  0 69  3  4  1 
5047  0  0  9  0 442 38 161 568  0  1 1752 199  6 131  0 40 277 9644 4444  0 310  0 2109 69  2  1 253 39 150 
 0 856  9  0  5  0 255 53 102 78  0 763 990  0 6534 563  0  0 63  0  0  0  0 2237  0 322  0 13 2043  0 
 0 58  0  5  0  1 59 241 12  0  0 7846  2 873  0 474 30 360  0 1063  0 508 81  0 5139  6 54 2129  0  2 
13 1287 442  0  1  0 644  0 1237  0 165  0  0 599  1  0  9 135  0 299  9 684 3217  5 148  0 37  3 155 27 
3527 46 38 255 59 644  0 1246  0  0 5873 8845  0 9710  0  6 4342 2160  0  0 654  0  0  0  0  5  0 18  6  0 
 5  2 161 53 241  0 1246  0 474  4 406  0 11 30  0 10  0  5  0 525  2  0  1 17  0  3 8243  2 62  0 
12  0 568 102 12 1237  0 474  0  0  0  0 551  0 1570  0 64  0 16 118  0 9427  7 2310  0  6  0  0  0 3443 
 1 809  0 78  0  0  0  4  0  0  5 94 36 806 1021 1799 10 8548  0 579 1141  1 112 37 152 2122 44 263 33 5832 
 0 2190  1  0  0 165 5873 406  0  5  0  0 1068  2 12  1  0 7394 1363  0  6 92  0 855 459 6149  0  0  0 18 
 2 393 1752 763 7846  0 8845  0  0 94  0  0 40  0 93 855 106  3 17 1194  0 1390 22 4064  0 1592  0  0  0  0 
30 2250 199 990  2  0  0 11 551 36 1068 40  0 22  0 2786  0 136  0  0  0  2  0 14 19 1254  0 456 248  0 
1757  0  6  0 873 599 9710 30  0 806  2  0 22  0  0  0  0  0 308 300 528 1501  0  9  5 24  0  0 11  0 
